icd9	description
01700	tuberculosis of skin and subcutaneous cellular tissue unspecified
01701	tuberculosis of skin and subcutaneous cellular tissue bacteriological or histological examination not done
01702	tuberculosis of skin and subcutaneous cellular tissue bacteriological or histological examination unknown at present
01703	tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli found in sputum by microscopy
01704	tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01705	tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01706	tuberculosis of skin and subcutaneous cellular tissue tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01710	erythema nodosum with hypersensitivity reaction in tuberculosis unspecified
01711	erythema nodosum with hypersensitivity reaction in tuberculosis bacteriological or histological examination not done
01712	erythema nodosum with hypersensitivity reaction in tuberculosis bacteriological or histological examination unknown at present
01713	erythema nodosum with hypersensitivity reaction in tuberculosis tubercle bacilli found in sputum by microscopy
01714	erythema nodosum with hypersensitivity reaction in tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01715	erythema nodosum with hypersensitivity reaction in tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01716	erythema nodosum with hypersensitivity reaction in tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01720	tuberculosis of peripheral lymph nodes unspecified
01721	tuberculosis of peripheral lymph nodes bacteriological or histological examination not done
01722	tuberculosis of peripheral lymph nodes bacteriological or histological examination unknown at present
01723	tuberculosis of peripheral lymph nodes tubercle bacilli found in sputum by microscopy
01724	tuberculosis of peripheral lymph nodes tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01725	tuberculosis of peripheral lymph nodes tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01726	tuberculosis of peripheral lymph nodes tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01730	tuberculosis of eye unspecified
01731	tuberculosis of eye bacteriological or histological examination not done
01732	tuberculosis of eye bacteriological or histological examination unknown at present
01733	tuberculosis of eye tubercle bacilli found in sputum by microscopy
01734	tuberculosis of eye tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01735	tuberculosis of eye tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01736	tuberculosis of eye tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01740	tuberculosis of ear unspecified
01741	tuberculosis of ear bacteriological or histological examination not done
01742	tuberculosis of ear bacteriological or histological examination unknown at present
01743	tuberculosis of ear tubercle bacilli found in sputum by microscopy
01744	tuberculosis of ear tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01745	tuberculosis of ear tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01746	tuberculosis of ear tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01750	tuberculosis of thyroid gland unspecified
01751	tuberculosis of thyroid gland bacteriological or histological examination not done
01752	tuberculosis of thyroid gland bacteriological or histological examination unknown at present
01753	tuberculosis of thyroid gland tubercle bacilli found in sputum by microscopy
01754	tuberculosis of thyroid gland tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01755	tuberculosis of thyroid gland tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01756	tuberculosis of thyroid gland tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01760	tuberculosis of adrenal glands unspecified
01761	tuberculosis of adrenal glands bacteriological or histological examination not done
01762	tuberculosis of adrenal glands bacteriological or histological examination unknown at present
01763	tuberculosis of adrenal glands tubercle bacilli found in sputum by microscopy
01764	tuberculosis of adrenal glands tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01765	tuberculosis of adrenal glands tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
